year,date,arrivals,months,is_full_year,annual_only,source_title,source_published,source_page_url,source_file_url,source_sha256,parse_note,world_bank_arrivals,yoy_basis,yoy_pct,world_bank_diff,world_bank_diff_pct
2012,2012-01-01,22353903,0,True,True,สรุปรายได้และค่าใช้จ่ายการท่องเที่ยวจากนักท่องเที่ยวชาวต่างชาติที่เดินทางเข้าประเทศไทย ปี 2555 (TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS (Jan-Dec 2012),2019-06-05T00:00:00.000Z,https://www.mots.go.th/news/category/549,https://www.mots.go.th/download/article/article_20190605175833.xlsx,c4c7c3c0de4ee97493b9c3672eb30c0858f55ef80941d48694e94cf2c6d6ca7c,annual_total; sheet=Summary; total_row=68; col=2; sheet_score=80,22354000,full_year,,-97,-0.0004339268139919028
2013,2013-01-01,26546725,12,True,False,,,,,,,26547000,full_year,18.75655450415079,-275,-0.0010358985949476818
2014,2014-01-01,24809683,12,True,False,,,,,,,24810000,full_year,-6.543338208385407,-317,-0.001277710600566806
2015,2015-01-01,29923185,12,True,False,,,,,,,29923000,full_year,20.610912279693384,185,0.0006182535173593351
2016,2016-01-01,32529588,12,True,False,,,,,,,32530000,full_year,8.710312755811245,-412,-0.0012665232093422851
2017,2017-01-01,35591978,12,True,False,,,,,,,35592000,full_year,9.414167803170459,-22,-6.181164307061948e-05
2018,2018-01-01,38178194,12,True,False,,,,,,,38178000,full_year,7.26628904974036,194,0.0005081460527023296
2019,2019-01-01,39916251,12,True,False,,,,,,,39916000,full_year,4.552486165270153,251,0.0006288205230964294
2020,2020-01-01,6725193,12,True,False,,,,,,,,full_year,-83.15174188076931,,
2021,2021-01-01,510767,12,True,False,,,,,,,,full_year,-92.40516963602383,,
2022,2022-01-01,11065226,12,True,False,,,,,,,,full_year,2066.394070094583,,
2023,2023-01-01,28150016,12,True,False,,,,,,,,full_year,154.4007325290961,,
2024,2024-01-01,35545714,12,True,False,,,,,,,,full_year,26.27244687889343,,
2025,2025-01-01,32974321,12,True,False,,,,,,,,full_year,-7.234045150985013,,
2026,2026-01-01,14032649,5,False,False,,,,,,,,YTD same 5 months,-2.2979324073881924,,
