year,quarter,period,date,arrivals,qoq_pct,yoy_pct
2013,1,Q1,2013-01-01,7007904,,
2013,2,Q2,2013-04-01,6063605,-13.474770773115619,
2013,3,Q3,2013-07-01,6500176,7.199858829854522,
2013,4,Q4,2013-10-01,6975040,7.305402192186805,
2014,1,Q1,2014-01-01,6375880,-8.590058264898836,-9.01873085019429
2014,2,Q2,2014-04-01,5097001,-20.058078257432697,-15.941077956100369
2014,3,Q3,2014-07-01,5850428,14.781770692216845,-9.995852419996009
2014,4,Q4,2014-10-01,7486374,27.96284306037098,7.330911363949166
2015,1,Q1,2015-01-01,7833277,4.633792006651016,22.8579741149457
2015,2,Q2,2015-04-01,6977875,-10.920104063727099,36.90158193023703
2015,3,Q3,2015-07-01,7275824,4.269910252046638,24.363961064045235
2015,4,Q4,2015-10-01,7836209,7.702014232339871,4.672956494025016
2016,1,Q1,2016-01-01,9004203,14.905089948468708,14.948098988456548
2016,2,Q2,2016-04-01,7509900,-16.59561651375474,7.624455869444491
2016,3,Q3,2016-07-01,8249517,9.848559900930764,13.382580447245562
2016,4,Q4,2016-10-01,7765968,-5.861543166709038,-0.8963645558713429
2017,1,Q1,2017-01-01,9181986,18.23363166059917,1.9744446010379724
2017,2,Q2,2017-04-01,8184984,-10.858239165252481,8.989254184476492
2017,3,Q3,2017-07-01,8887836,8.587090701704492,7.737653004412248
2017,4,Q4,2017-10-01,9337172,5.055628839236004,20.23191442457657
2018,1,Q1,2018-01-01,10578247,13.291765429618296,15.206525037176055
2018,2,Q2,2018-04-01,8847205,-16.36416695507299,8.090681667795563
2018,3,Q3,2018-07-01,9042234,2.2044137103186756,1.7371832693582556
2018,4,Q4,2018-10-01,9710508,7.390585114253856,3.998384093170815
2019,1,Q1,2019-01-01,10792781,11.14537982976791,2.028067599480332
2019,2,Q2,2019-04-01,9010224,-16.516197261854938,1.842604528774916
2019,3,Q3,2019-07-01,9705444,7.71590140267322,7.33458125503057
2019,4,Q4,2019-10-01,10407802,7.236742595186785,7.180818964363134
2020,1,Q1,2020-01-01,6691574,-35.706175040608954,-37.99953876577315
2020,2,Q2,2020-04-01,0,-100.0,-100.0
2020,3,Q3,2020-07-01,0,,-100.0
2020,4,Q4,2020-10-01,33619,,-99.67698270970182
2021,1,Q1,2021-01-01,38342,14.048603468276877,-99.42701074515503
2021,2,Q2,2021-04-01,34706,-9.483073392102659,
2021,3,Q3,2021-07-01,65835,89.69342476805164,
2021,4,Q4,2021-10-01,371884,464.8727880306827,1006.172105059639
2022,1,Q1,2022-01-01,488118,31.25544524636714,1173.06348129988
2022,2,Q2,2022-04-01,1564658,220.5491295137651,4408.321327724312
2022,3,Q3,2022-07-01,3582421,128.95872452638213,5341.514392040707
2022,4,Q4,2022-10-01,5430029,51.574284541096645,1360.1405276914306
2023,1,Q1,2023-01-01,6528231,20.224606535250555,1237.4288594151415
2023,2,Q2,2023-04-01,6437153,-1.3951405824947027,311.4095859925939
2023,3,Q3,2023-07-01,7089281,10.130689763005485,97.89078391400676
2023,4,Q4,2023-10-01,8095351,14.191425054247397,49.08485755785097
2024,1,Q1,2024-01-01,9370319,15.74938504828265,43.53534671184276
2024,2,Q2,2024-04-01,8130964,-13.226390691714974,26.31304553426026
2024,3,Q3,2024-07-01,8587573,5.61568099428309,21.134611535358804
2024,4,Q4,2024-10-01,9456858,10.122592262097797,16.81838131539941
2025,1,Q1,2025-01-01,9549004,0.9743828235551311,1.9069254739352948
2025,2,Q2,2025-04-01,7136465,-25.264823430799698,-12.231009754808897
2025,3,Q3,2025-07-01,7429859,4.111195108502597,-13.481271134463723
2025,4,Q4,2025-10-01,8858993,19.235008362877416,-6.322025772196216
2026,1,Q1,2026-01-01,9316909,5.168939630045988,-2.4305676277861066
